,0
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,"[-0.43633044, -7.2579246, -5.476148, 5.6817117, -1.5182902, -0.36535236, 0.10907859, -1.6151489, 4.0526166, 4.5014887, -0.56428516, 2.3450747, -2.8319554, -1.3703486, -5.373413, -1.3623353, -0.6466686, -2.0249507, -9.44247, -4.006469, -0.79598004, -2.1108015, 0.23472387, 1.8684376, 8.096188, -1.9899269, 0.4293875, -7.0685186, 2.3141243, -4.1608787, 3.3449202, -8.319135, 0.5440497, 4.2911325, 5.864088, 0.72777265, -6.6834707, 0.563189, 0.7283719, -0.64133734, -5.1563644, -1.7801738, -4.1355777, -1.7308948, -5.201272, 0.4404281, -4.38933, 6.4579988, -1.6133926, -0.786483, -2.7571611, 1.8164883, 4.8338585, 0.41915488, 1.2498349, 1.2937623, 2.6566155, -5.8187785, 3.0684938, 2.4419587, -4.134135, 3.4951634, -8.071623, -2.971563, 0.118586086, 2.9099455, 2.3387089, 1.9833008, 1.2132307, -5.9325466, 3.558599, -2.3411047, -2.6874304, 3.835778, -2.2964063, -2.193367, 6.0637956, -0.16713442, -1.309141, -0.37344056, -3.9233658, -1.2805698, -1.9458772, 0.11225403, -0.41259792, 3.2646277, 1.870719, 0.76744753, -0.543602, 1.368943, -0.42896712, 3.9625642, -0.44341037, 2.2107391, 3.8696802, 2.2863386, -4.584976, -0.93946314, -0.6253588, 1.460959]"
7,"[-3.9642794, -8.170604, 3.996739, 5.2269154, 3.6709678, 4.027216, 1.1063677, 3.6318674, 5.4266973, 1.7860721, -2.038691, -0.3532926, 3.4407537, -1.3943725, 0.5914361, 0.84833574, -5.7628264, -2.5446892, -1.4846393, -0.027307933, 2.0904267, -1.5102899, 4.369788, 3.2899692, 2.6981432, -5.6500907, -1.5439472, -3.360637, 3.7866528, -4.1496196, 5.363128, -0.44464585, -1.7345024, -0.020849867, -2.4203744, 4.0921025, 2.6646445, -3.1971304, -0.89968723, -2.1282072, -1.5442796, 0.44651905, -3.9143384, -3.871697, -5.537437, 1.8466605, 3.8535764, -3.0730574, 0.74676085, 2.769867, -0.4354598, -1.202359, -1.1667992, 0.7387587, -1.5172716, -2.0396953, 0.5602229, -1.8433782, 3.80454, -1.9573767, 1.2763904, 2.9128666, 0.049466573, -3.1061535, -2.5548403, 6.0267034, 6.3206224, -3.8822303, -0.15994205, -4.111262, 3.8356872, 1.2673856, 0.5048733, 0.18426222, -6.494751, -1.0690125, 2.669578, -3.7752273, -0.0141577, 0.26435342, 8.126418, -1.4957017, 4.402381, 0.28471872, 1.47513, -1.9869574, 3.813888, 1.1322474, -0.07159509, 0.24020706, -2.602597, 3.9755206, -1.5512997, -1.5158538, 3.3093104, 1.1396286, -6.0889163, -0.4040779, 6.881045, 3.5732446]"
8,"[6.847741, -5.4851794, -1.8043197, 6.5046873, 1.4538627, 7.353878, 0.9696794, 2.1098647, -1.9025098, 4.3602004, -6.865119, -0.9300812, -3.5713193, -4.772559, 1.5399565, -1.0685366, -1.7656163, 1.530555, -8.179694, -0.1065276, -1.5142097, -6.82083, 2.9014976, -1.1865122, 4.0226746, -3.712539, -6.230198, -9.608642, 0.51892823, -5.965402, 3.4426925, -1.7295601, -1.9894377, 1.8105273, 2.728409, 4.072576, -2.7295449, -5.0624866, -4.760433, -4.1565995, -2.459677, 1.6925972, 0.5963608, -0.27015445, -1.6986984, 0.39550254, -1.1257037, -3.1543252, -1.7319952, -3.9092937, -1.0387428, 2.6022873, 3.0776806, -1.0578687, -0.6110224, -0.047507066, 0.8892488, -1.4760134, 1.6094829, -0.9956921, -0.7227674, 0.8391922, -8.72217, -4.8696246, -1.7702446, -0.268253, 1.924673, -5.3325214, 4.2390537, -1.4466156, 4.2144313, -2.7033107, -5.0330725, 1.3930308, 0.5718753, -4.7210345, 3.5571983, -6.721279, -1.2716641, -3.630293, -2.4543834, -1.5947192, 1.687715, 1.572192, -1.7824267, -1.5635924, -0.25482628, -1.1353284, -1.648929, -4.4876738, -1.9771634, -1.0566944, -3.6374006, 4.415869, 5.809069, 1.5704615, -3.1235209, -0.68233067, 4.210416, -0.05900789]"
9,-1
10,"[-2.1288626, -8.700782, 0.31648526, 5.7447968, 0.21005353, 2.1618261, 2.1083908, -2.750923, 4.85742, 0.7600616, 1.2525551, 2.7643626, -1.5047152, -1.8940583, -3.7320483, -0.4512549, 2.4106784, -3.1889353, -4.8913836, -3.1458304, 2.7849069, 1.3661696, 4.7748213, -0.26572272, 2.9883475, 2.2232828, -0.7290613, -2.9691575, 3.2606573, -3.0542636, 4.216415, -1.8475748, -0.09625103, 3.5163848, 2.5036309, 1.1407218, -2.4335785, -0.46938282, 1.8888291, -1.8915873, -7.2761536, 0.4152775, -2.4935036, -1.4230504, -4.6592097, 2.881532, -6.397618, 3.3504477, -0.69666773, -0.15477793, -2.3281574, -2.3257086, 2.107279, -2.8152616, -1.3527588, -2.5794613, 3.4268124, -7.0044665, 1.5205605, -1.0277036, -0.6909661, 2.2684643, -2.2828078, 1.3051732, -1.7322019, 1.5927366, 2.230955, 3.8960762, -2.3145072, -4.4215198, 3.1891363, -4.1229873, -1.3954705, 5.2687516, -2.779396, 2.514755, 2.3292544, 0.33477956, 1.1400118, 0.42354614, 2.5352485, 3.1542444, -1.2232429, 0.79435307, -5.084015, -2.0179987, 2.9444592, -0.53757274, -1.9050688, 2.5409846, -1.5495952, 1.5354165, -0.83525217, 1.3926765, -1.5631807, 4.6681914, -8.683899, -2.6332502, -0.09088298, 0.27549177]"
