,0,1
0,['的'],['uj']
1,['和'],['c']
2,['我们'],['r']
3,['在'],['p']
4,['将'],['d']
5,['并'],['c']
6,['经济'],['n']
7,['全球'],['n']
8,['增长'],['v']
9,['对'],['p']
10,['金融'],['nz']
11,['发展'],['vn']
12,['国际'],['n']
13,['承诺'],['v']
14,['以'],['p']
15,['可'],['v']
16,['支持'],['v']
17,['年'],['m']
18,['为'],['p']
19,['国家'],['n']
20,['持续'],['vd']
21,['加强'],['v']
22,['包括'],['v']
23,['是'],['v']
24,['政策'],['n']
25,['二'],['m']
26,"['二', '十国集团']","['m', 'nt']"
27,['促进'],['v']
28,['就业'],['v']
29,['市场'],['n']
30,['峰会'],['n']
31,['改革'],['vn']
32,['合作'],['vn']
33,['到'],['v']
34,['与'],['p']
35,['稳定'],['a']
36,['继续'],['v']
37,['欢迎'],['v']
38,['报告'],['n']
39,['工作'],['vn']
40,['上'],['f']
41,['投资'],['vn']
42,['通过'],['p']
43,['采取'],['v']
44,['落实'],['a']
45,['提高'],['v']
46,['月'],['m']
47,['措施'],['n']
48,['其'],['r']
49,['中'],['f']
50,['方面'],['n']
51,['监管'],['vn']
52,['进展'],['vn']
53,['框架'],['n']
54,['实现'],['v']
55,['行动'],['vn']
56,['各国'],['r']
57,['贸易'],['vn']
58,['了'],['ul']
59,['风险'],['n']
60,['进行'],['v']
61,['更'],['d']
62,['机构'],['n']
63,['要求'],['v']
64,['以及'],['c']
65,['确保'],['v']
66,['制定'],['v']
67,['国际货币基金组织'],['nt']
68,['应对'],['v']
69,['应'],['v']
70,['融资'],['vn']
71,['相关'],['v']
72,['新'],['a']
73,['认识'],['v']
74,['特别'],['d']
75,['领域'],['n']
76,['评估'],['vn']
77,['基础'],['n']
78,['等'],['u']
79,['提供'],['v']
80,['发展中国家'],['l']
81,['其他'],['r']
82,['银行'],['n']
83,['推动'],['v']
84,['能源'],['n']
85,['有'],['v']
86,['目标'],['n']
87,['能力'],['n']
88,['下'],['f']
89,['影响'],['vn']
90,['同时'],['c']
91,['取得'],['v']
92,['重申'],['v']
93,['原则'],['n']
94,['重要'],['a']
95,['所有'],['b']
96,['建立'],['v']
97,['问题'],['n']
98,['实施'],['v']
99,['有关'],['vn']
100,['会议'],['n']
101,['进一步'],['d']
102,['平衡'],['a']
103,['基础设施'],['n']
104,['不'],['d']
105,['危机'],['n']
106,['行动计划'],['n']
107,['呼吁'],['v']
108,['及'],['c']
109,['标准'],['n']
110,['联合国'],['nt']
111,['开发'],['v']
112,['需要'],['v']
113,['鼓励'],['v']
114,['就'],['d']
115,['有效'],['a']
116,['重要性'],['n']
117,['包容性'],['n']
118,['努力'],['ad']
119,['向'],['p']
120,['理事会'],['n']
121,['上述'],['b']
122,['所'],['c']
123,['这些'],['r']
124,['致力于'],['n']
125,['社会'],['n']
126,['挑战'],['vn']
127,['组织'],['v']
128,['根据'],['p']
129,['金融机构'],['n']
130,['倡议'],['n']
131,['地'],['uv']
132,['共同'],['d']
133,['解决'],['v']
134,['同意'],['d']
135,['复苏'],['v']
136,['强劲'],['a']
137,['建议'],['n']
138,['经合组织'],['nt']
139,['开展'],['v']
140,['关于'],['p']
141,['计划'],['n']
142,['成员'],['n']
143,['也'],['d']
144,['已'],['d']
145,['增加'],['v']
146,['透明度'],['n']
147,['多边'],['r']
148,['机制'],['n']
149,['11'],['m']
150,['2011'],['m']
151,['创造'],['v']
152,['情况'],['n']
153,['增强'],['v']
154,['前'],['f']
155,['体系'],['n']
156,['世界银行'],['nt']
157,['最'],['d']
158,['低收入'],['n']
159,['反腐败'],['v']
160,['作为'],['v']
161,['保护'],['v']
162,['协调'],['v']
163,['作用'],['v']
164,['改善'],['v']
165,['工作组'],['n']
166,['监督'],['vn']
167,['世界'],['nz']
168,['于'],['p']
169,['战略'],['n']
170,['资本'],['n']
171,['必要'],['d']
172,['需求'],['v']
173,['完成'],['v']
174,['考虑'],['v']
175,['财长'],['n']
176,['减少'],['v']
177,['一个'],['m']
178,['国内'],['s']
179,['帮助'],['v']
180,['方式'],['n']
181,['该'],['r']
182,['或'],['c']
183,"['这', '一']","['r', 'm']"
184,['这'],['r']
185,['财政'],['n']
186,['期待'],['v']
187,['金融体系'],['n']
188,['资源'],['n']
189,['论坛'],['n']
190,['强调'],['v']
191,['创新'],['v']
192,['份额'],['n']
193,['腐败'],['an']
194,['气候变化'],['n']
195,['同'],['p']
196,['新兴'],['b']
197,['资金'],['n']
198,['经济体'],['n']
199,['农业'],['n']
200,['税收'],['n']
201,['议程'],['n']
202,['成果'],['n']
203,['使'],['v']
204,['项目'],['n']
205,['6'],['x']
206,['参与'],['v']
207,['技术'],['n']
208,['审议'],['v']
209,['提出'],['v']
210,['系统'],['n']
211,['进程'],['n']
212,['信息'],['n']
213,['建设'],['vn']
214,['区域'],['n']
215,['为此'],['r']
216,['环境'],['n']
217,['公约'],['n']
218,['执行'],['v']
219,['主要'],['b']
220,['水平'],['n']
221,['保持'],['v']
222,['带来'],['v']
223,['金融市场'],['n']
224,['透明'],['v']
225,['更好'],['d']
226,['全面'],['n']
227,['日'],['m']
228,['央行'],['j']
229,['各自'],['r']
230,['具有'],['v']
231,['提交'],['v']
232,['未来'],['t']
233,['长期'],['d']
234,['但'],['c']
235,['扩大'],['v']
236,['内'],['n']
237,['及其'],['c']
238,['2010'],['m']
239,['发挥'],['v']
240,['教育'],['vn']
241,['决定'],['v']
242,['3'],['x']
243,['包容'],['v']
244,['多'],['m']
245,['举措'],['v']
246,['粮食安全'],['l']
247,['领导人'],['n']
248,['研究'],['vn']
249,['必须'],['d']
250,['避免'],['v']
251,['还'],['d']
252,['面临'],['v']
253,['现有'],['b']
254,['保护主义'],['n']
255,['高质量'],['n']
256,['工具'],['n']
257,['来'],['v']
258,['谈判'],['vn']
259,['推进'],['v']
260,['1'],['x']
261,['行长'],['n']
262,['注意'],['v']
263,['打击'],['v']
264,['讨论'],['v']
265,['行为'],['v']
266,['已经'],['d']
267,['中小企业'],['j']
268,['2'],['x']
269,['成员国'],['n']
270,['达成'],['v']
271,['结构'],['n']
272,['贫困'],['a']
273,['私人'],['n']
274,['辖区'],['n']
275,['共识'],['n']
276,['中期'],['t']
277,['资产'],['n']
278,['4'],['x']
279,['波动'],['vn']
280,['都'],['d']
281,['关键'],['n']
282,['使用'],['v']
283,['而'],['c']
284,['过度'],['n']
285,['伙伴关系'],['n']
286,['技能'],['n']
287,['降低'],['v']
288,['具体'],['a']
289,['们'],['k']
290,['数字'],['n']
291,['在内'],['u']
292,['各'],['r']
293,['要'],['v']
294,['有助于'],['v']
295,['恢复'],['v']
296,['汇率'],['n']
297,['流动'],['vn']
298,['私营部门'],['n']
299,['一致'],['d']
300,['责任'],['n']
301,['安排'],['v']
302,['从'],['p']
303,['更加'],['d']
304,['国情'],['n']
305,['劳动力'],['n']
306,['确定'],['v']
307,['时'],['n']
308,['世贸组织'],['nt']
309,['援助'],['vn']
310,['货币'],['n']
311,['基于'],['p']
312,['今天'],['t']
313,['开放'],['v']
314,['能'],['v']
315,['宣言'],['nr']
316,['治理'],['v']
317,['自愿'],['d']
318,['2012'],['m']
319,['成功'],['a']
320,['对话'],['n']
321,['公共'],['b']
322,['关注'],['v']
323,['后'],['f']
324,['获得'],['v']
325,['结构性'],['n']
326,['绿色'],['n']
327,['企业'],['n']
328,['首尔'],['d']
329,['消除'],['v']
330,['小组'],['n']
331,['需'],['v']
332,['正在'],['t']
333,['9'],['x']
334,['安全'],['an']
335,['广泛'],['a']
336,['监测'],['vn']
337,['举行'],['v']
338,['协议'],['n']
339,['部门'],['n']
340,['非洲'],['ns']
341,['活动'],['vn']
342,['可持续性'],['n']
343,['清洁'],['a']
344,['相互'],['d']
345,['贡献'],['n']
346,['基金'],['n']
347,['金融监管'],['j']
348,['普惠'],['nz']
349,['性'],['n']
350,['有效性'],['n']
351,['债务'],['n']
352,['政府'],['n']
353,['至关重要'],['l']
354,['5'],['x']
355,['规则'],['n']
356,['抗'],['v']
357,['适当'],['a']
358,['委员会'],['n']
359,['法国'],['ns']
360,['反映'],['v']
361,['共享'],['v']
362,['管理'],['vn']
363,['交换'],['v']
364,['决心'],['v']
365,['劳工'],['vn']
366,['强有力'],['n']
367,['青年'],['t']
368,['信贷'],['n']
369,['保证'],['v']
370,['部长'],['n']
371,['调整'],['vn']
372,['对于'],['p']
373,['年底'],['t']
374,['如何'],['r']
375,['社会保障'],['n']
376,['一些'],['m']
377,['采取行动'],['n']
378,['贷款'],['n']
379,['当局'],['n']
380,['平等'],['a']
381,['完善'],['v']
382,['重点'],['n']
383,['当前'],['t']
384,['发达国家'],['l']
385,['分享'],['v']
386,['妇女'],['n']
387,['国际劳工组织'],['nt']
388,['集团'],['n']
389,['流动性'],['n']
390,['模式'],['n']
391,['培训'],['vn']
392,['启动'],['vn']
393,['强化'],['v']
394,['实践'],['v']
395,['因此'],['c']
396,['大宗'],['m']
397,['方法'],['n']
398,['服务'],['vn']
399,['高级别'],['n']
400,['公平'],['n']
401,['国'],['n']
402,['国别'],['n']
403,['核心'],['n']
404,['金融部门'],['n']
405,['生活'],['vn']
406,['薪酬'],['n']
407,['信心'],['n']
408,['一道'],['m']
409,['知识'],['v']
410,['10'],['m']
411,['12'],['m']
412,['持续增长'],['n']
413,['可能'],['v']
414,['利益'],['n']
415,['情报'],['n']
416,['渠道'],['n']
417,['人群'],['n']
418,['授权'],['v']
419,['数据'],['n']
420,['衍生品'],['n']
421,['优先'],['vn']
