,情感指数,
0,0.095373495,我们，即20国集团领导人，于2019年6月28日至29日在日本大阪举行会议，共同努力应对重大的全球经济挑战
1,0.999478456,我们将共同努力，促进全球经济增长，同时利用技术创新的力量，特别是数字化，并将其应用于所有人的利益
2,0.996782035,我们将在历届总统工作的基础上，通过解决不平等问题，努力创造良性的增长周期，实现人人都能充分发挥自身潜力的社会
3,0.999992363,我们决心建设一个能够抓住机遇、应对当今和未来经济、社会和环境挑战的社会，包括人口变化的社会
4,0.999984763,我们将进一步领导促进发展的努力，应对其他全球性挑战，为实现2030年可持续发展议程所设想的、具有包容性和可持续性的世界铺平道路
5,0.53159909,全球经济
6,0.85760454,全球经济增长似乎趋于稳定，预计今年晚些时候到2020年将温和回升
7,0.970036896,这种复苏得到了一些国家继续实行宽松的财政条件和刺激措施的支持
8,0.591510602,然而，增长率仍然很低，风险仍倾向于下行
9,0.937474475,最重要的是，贸易和地缘政治紧张局势加剧
10,0.611035864,我们将继续处理这些风险，并准备采取进一步行动
11,0.999998715,我们重申致力于通过加强对话和行动增强信心，利用所有政策工具实现强劲、可持续、平衡和包容性增长，并防范下行风险
12,0.910893973,财政政策应该是灵活的、增长友好的，同时在需要时重建缓冲区，确保债务占国内生产总值的份额是可持续的
13,0.508462979,货币政策将继续支持经济活动，确保价格稳定，符合中央银行的要求
14,0.48962295,央行的决定需要保持良好的沟通
15,0.999903197,继续实施结构性改革将增强我们的增长潜力
16,0.015353236,我们还重申了财政部长和央行行长在2018年3月作出的汇率承诺
17,0.999964341,全球经常账户失衡在全球金融危机之后已经缩小，特别是在新兴经济体和发展中国家，并且日益集中于发达经济体
18,0.790385086,然而，它们仍然庞大而持久，股票头寸继续出现分歧
19,0.942921163,在评估外部余额时，我们注意到监测经常账户所有组成部分的重要性，包括服务贸易和收入余额
20,0.999941788,我们本着加强合作的精神，确认必须根据国家具体情况，认真调整宏观经济和结构性政策，以解决过度失衡，缓解实现20国集团强劲、可持续、平衡和包容性增长目标的风险
21,0.999999862,人口变化，包括人口老龄化，对所有20国集团成员国都构成挑战和机遇，这些变化将需要涵盖财政、货币、金融、劳动力市场和其他结构性政策的政策行动
22,0.999999156,为了加强老龄化社会的金融包容性，我们赞同20国集团福冈关于老龄化和金融包容性的政策优先事项
23,0.965693442,促进强劲的全球经济增长
24,0.947738674,贸易和投资
25,0.888018548,我们欢迎20国集团筑波贸易和数字经济部长级声明
26,0.999731719,我们努力实现自由、公平、非歧视、透明、可预测和稳定的贸易和投资环境，保持市场开放
27,0.999990188,国际贸易和投资是增长、生产力、创新、创造就业和发展的重要引擎
28,0.999654743,我们重申支持世界贸易组织进行必要的改革，以提高其职能
29,0.999163629,我们将与世界贸易组织其他成员积极合作，包括筹备第12届世界贸易组织部长级会议
30,0.607662929,我们同意，有必要采取行动，使争端解决系统的运作符合世贸组织成员谈判的规则
31,0.968136669,此外，我们认识到与世贸组织一致的双边和区域自由贸易协定的互补作用
32,0.048937984,我们将努力确保公平竞争，营造有利的商业环境
33,0.473767218,过剩产能
34,0.780745105,虽然我们注意到全球钢铁过剩产能论坛迄今取得的进展，但我们请全球钢铁过剩产能论坛成员国的相关部长在2019年秋季就如何进一步推进论坛工作进行探讨并达成共识
35,0.967964825,创新：数字化，数据自由流动，信任
36,0.999984564,创新是经济增长的重要驱动力，也有助于向可持续发展目标迈进，增强包容性
37,0.999761193,我们将通过数字化和促进新兴技术的应用，努力建设包容、可持续、安全、值得信赖和创新的社会
38,0.999975714,我们分享了一个以人类为中心的未来社会的概念，日本将其作为社会5.0加以推广
39,0.999989282,随着数字化正在改变我们经济和社会的各个方面，我们认识到有效利用数据所发挥的关键作用，是经济增长、发展和社会福祉的推动者
40,0.946396281,我们旨在促进国际政策讨论，充分利用数据的潜力
41,0.999997284,数据、信息、想法和知识的跨境流动产生了更高的生产力、更大的创新和改进的可持续发展，同时也带来了与隐私、数据保护、知识产权和安全相关的挑战
42,0.988136302,通过继续解决这些挑战，我们可以进一步促进数据自由流动，增强消费者和企业的信任
43,0.994405871,在这方面，有必要尊重国内和国际的法律框架
44,0.992792449,这种信任的数据自由流动将利用数字经济的机遇
45,0.864989259,我们将合作鼓励不同框架的互操作性，并确认数据在开发中的作用
46,0.624537901,我们还重申贸易与数字经济之间的接口的重要性，注意到在《电子商务联合声明3倡议》下正在进行的讨论，并重申世贸组织电子商务工作方案的重要性
47,0.999999996,为了进一步促进数字经济中的创新，我们支持分享关于有效的政策和监管方法和框架的良好做法，这些方法和框架既具有创新性、灵活性，并适应数字时代，包括通过使用监管沙箱
48,0.954978423,（弘治译注：regulatorysandboxes，监管沙箱，有监管的沙箱、沙盘、沙盒
49,0.526309286,如儿童玩耍的一小片沙坑、沙堆、沙地等等
50,0.981305364,）负责任地开发和使用人工智能（AI）可以成为推动可持续发展目标和实现可持续和包容社会的动力
51,0.999978165,为了增进公众对人工智能技术的信任和信心，充分发挥其潜力，我们致力于以人为中心的人工智能方法，欢迎从经济合作与发展组织（经合组织）关于人工智能的建议中得出的不具约束力的二十国集团人工智能原则
52,0.942166999,此外，我们认识到在数字经济中促进安全以及解决安全差距和脆弱性的重要性日益增强
53,0.584606119,我们确认保护知识产权的重要性
54,0.998470813,随着包括物联网（IOT）在内的新兴技术的迅速发展，正在进行的数字经济安全讨论的价值也在不断增长
55,0.96887678,作为20国集团成员，我们确认有必要进一步努力应对这些紧迫挑战
56,0.999933773,我们重申弥合数字鸿沟、促进中小微企业（MSME）和所有个人，特别是弱势群体采用数字化的重要性，并鼓励城市之间的网络和经验共享，促进智能城市的发展
57,0.939196953,优质基础设施投资
58,0.947912492,基础设施是经济增长和繁荣的驱动力
59,0.99982193,我们赞同二十国集团优质基础设施投资原则，认为这是我们的共同战略方向和高度愿望
60,0.998420098,这些强调，根据基础设施作为资产类别的路线图，质量适宜的基础设施是20国集团正在努力消除基础设施差距的一个重要组成部分
61,0.999686678,我们强调必须最大限度地发挥基础设施的积极影响，实现可持续增长和发展，同时保持公共财政的可持续性，从生命周期成本的角度提高经济效率，综合环境和社会因素，包括妇女的经济权能，建设复原力
62,0.251008095,抵御自然灾害和其他风险，加强基础设施治理
63,0.999998335,我们期待继续推进将基础设施发展为资产类别的要素，包括探索有关优质基础设施投资的可能指标
64,0.937830361,全球金融
65,0.999991753,我们重申致力于以一个强大的、以配额为基础的、资源充足的国际货币基金组织（IMF）为中心，进一步加强全球金融安全网
66,0.999947938,我们仍致力于不迟于2019年年度会议结束第15次配额总体审查，并呼吁国际货币基金组织作为最高优先事项，加快其在国际货币基金组织资源和治理改革方面的工作
67,0.99999935,我们支持在跟进名士团体（EPG）提案（译注：Eminent Persons Group，杰出、显赫人士团体、精英团体）——包括国家平台——方面所取得的进展，以及世界银行集团（WBG）为加强发展金融中的风险保险所做努力
68,0.981672777,我们欢迎国际组织在资本流动方面所做的工作
69,0.954607864,经合组织已完成对其资本流动自由化准则的审查
70,0.56602646,我们将继续研究4个EPG的提案，认识到其多年性质
71,0.554408902,（译注：似指这4个名士团队提案比较复杂，需更多研究时间才能制订出来
72,0.030629266,我们重申借款人和债权人（官方和私人）共同努力提高债务透明度和确保债务可持续性的重要性
73,0.999997893,我们呼吁国际货币基金组织和世界银行继续努力加强借款人在债务记录、监测和报告、债务管理、公共财政管理和国内资源调动等领域的能力，包括多管齐下
74,0.999999273,在审查债务限额政策和非转让借款政策的背景下，我们鼓励国际货币基金组织和世界银行继续努力深化对抵押融资做法的分析
75,0.979427103,我们欢迎完成对《20国集团可持续融资业务准则》执行情况的自愿自我评估，和国际货币基金组织世界银行关于调查结果和政策建议的说明
76,0.90802029,我们赞赏完成调查的20国集团和非20国集团成员，并呼吁继续讨论本说明所强调的问题，以改进融资做法
77,0.999948629,我们支持国际金融研究所关于债务透明度自愿原则的工作，以提高债务透明度和私人融资的可持续性，并期待后续行动
